Soil,Variety,P_%,S_%,K_%,Mg_%,Ca_%,Mn,Cu,Fe,Zn,Grain_TAs,DMAs,As_III,MMAs,AsB,As_V
GH-Low As,BR1,0.596,0.175,0.604,0.213,0.018,31.333,5.285,26.765,29.936,0.781,0.198,0.22,0.005,0.008,0.053
GH-Low As,BR6,0.527,0.155,0.452,0.195,0.019,32.618,3.697,25.676,36.445,1.065,0.253,0.229,0.004,0.007,0.039
GH-Low As,BR28,0.456,0.143,0.444,0.164,0.019,32.722,5.004,18.694,25.954,0.942,0.261,0.253,,0.002,0.02
GH-Low As,BR35,0.531,0.147,0.517,0.183,0.021,36.996,3.46,20.214,32.513,1.335,0.371,0.346,0.004,0.002,0.024
GH-Low As,BR36,0.495,0.149,0.438,0.18,0.019,32.241,3.988,23.754,32.953,1.035,0.223,0.224,0.005,0.001,0.018
GH-High As,BR1,0.36,0.157,0.39,0.133,0.011,23.373,3.975,19.401,15.624,1.532,0.764,0.179,0.03,0.007,0.023
GH-High As,BR6,0.342,0.142,0.341,0.126,0.02,25.528,5.155,19.266,22.213,1.42,0.712,0.167,0.021,0.004,0.022
GH-High As,BR28,0.307,0.137,0.31,0.113,0.019,20.574,3.153,21.457,14.024,1.591,0.917,0.178,0.04,0.005,0.025
GH-High As,BR35,0.389,0.153,0.369,0.128,0.017,24.58,4.315,19.705,20.099,2.466,1.836,0.19,0.095,0.008,0.017
GH-High As,BR36,0.36,0.145,0.338,0.13,0.016,28.53,4.325,17.787,24.268,1.937,1.063,0.198,0.029,0.005,0.028
Field-Habiganj,BR1,0.504,0.151,0.329,0.175,0.011,25.808,4.526,15.424,32.595,0.144,0.016,0.054,0.002,0.007,0.003
Field-Habiganj,BR6,0.548,0.162,0.325,0.228,0.011,24.113,4.219,25.669,35.246,0.114,0.009,0.044,0.002,,0.003
Field-Habiganj,B28,0.484,0.144,0.309,0.182,0.013,31.709,3.744,16.809,27.908,0.154,0.006,0.043,0.001,,0.003
Field-Habiganj,BR35,0.509,0.144,0.34,0.186,0.018,32.926,3.219,19.649,37.102,0.206,0.012,0.063,0.003,0.001,0.003
Field-Habiganj,BR36,0.474,0.134,0.325,0.169,0.01,30.806,3.82,15.664,31.758,0.126,0.007,0.054,0.002,,0.003
Field-Satkhira,BR1,0.401,0.118,0.356,0.141,0.015,26.632,3.656,30.369,28.369,0.29,0.031,0.123,0.005,0.002,0.008
Field-Satkhira,BR6,0.439,0.143,0.299,0.164,0.012,21.217,4.358,18.937,30.508,0.336,0.033,0.107,0.003,0.001,0.011
Field-Satkhira,BR28,0.417,0.134,0.297,0.153,0.012,21.256,4.308,14.982,30.331,0.436,0.065,0.157,0.005,0.004,0.012
Field-Satkhira,BR35,0.473,0.134,0.348,0.178,0.02,26.502,4.254,23.692,27.533,0.441,0.054,0.142,0.006,,0.012
Field-Satkhira,BR36,0.459,0.136,0.362,0.163,0.019,30.331,4.472,20.691,33.099,0.537,0.053,0.201,0.007,0.004,0.013
