stas,TF,Predicted,logTF,var
4.3,0.057209302,0.05612548,-1.242533351,Minikate
4.8,0.06125,0.052777192,-1.212893907,Minikate
5.6,0.06625,0.048232135,-1.178814117,Minikate
5.7,0.067368421,0.047723634,-1.171543632,Minikate
6.7,0.06119403,0.043230632,-1.213290945,Minikate
7.8,0.037051282,0.039284804,-1.431196761,Minikate
8.3,0.055180723,0.037758107,-1.258212614,Minikate
8.7,0.048505747,0.036636367,-1.314206803,Minikate
9.7,0.03742268,0.034161047,-1.426865114,Minikate
10.1,0.038019802,0.033284195,-1.419990149,Minikate
10.4,0.065576923,0.032663538,-1.183248965,Minikate
10.6,0.027924528,0.032266183,-1.554014159,Minikate
12,0.040083333,0.02980451,-1.397036173,Minikate
12.3,0.032113821,0.029340483,-1.493308018,Minikate
12.3,0.023739837,0.029340483,-1.624522267,Minikate
13.3,0.036992481,0.027927726,-1.431886541,Minikate
16.1,0.02136646,0.024823682,-1.670267426,Minikate
20.3,0.0208867,0.021678182,-1.680130171,Minikate
27.2,0.019852941,0.018553829,-1.702175148,Minikate
